username,tweet
JasonBeck82,"Happy birthday to @BCSportsHall Honoured Members: -Buzz Moore (1921) Athlete-Builder -Brent Seabrook (35th -1985) Team Member, 2010 Canadian Olympic Men's Hockey Read their bios here: https://bcsportshall.com/honoured-members/"
basnettdavid1,Wrestling Happy 35th Birthday to former #FCW @WWENXT @OfficialPWG @GFWWrestling &amp; @WWE wrestler @TheCurtHawkins #BOTD 
DarkAlin_,@officialdavies happy 35th birthday boss. Live long and prosper
the00files,"Happy 35th birthday @BillyMagnussen! We still have no clue if you're a goodie or a baddie in No Time To Die, but we're all aching to find out!"
AzPremierLeague,Happy 35th Birthday! Idan Weitzman (Israeli / former Simurq Zaqatala footballer) 2013/15 - 50 Games / 4 Goals #שמחיוםהולדת #עידןויצמן #ישראל #כדורגלן #באפריל20 #היום #smallstreamersconnect #streamacademy #concours #indie #HBD #APL
AlumnusTiger,Happy 35th Birthday to me. The quarantine never bothered him anyway 
TReese82,Happy 35th Birthday to Actress &amp; Singer Courtnee Draper!
TReese82,APR.24 B-DAYS:Happy 35th Birthday to Rock SInger Travis Clark!
NayBleedsGreen,"Happy Birthday Nay During this horrific Global crisis and abnormal family &amp; friends communication We should remain in great spirits. With that being said, imma welcome my 35th Year #Quarantine style as if I was surrounded with my love ones. Prayers to Everyone #StaySafe"
AllieRX,"Happy 35th birthday to Moving Violations! An underrated comedy from the 80s! Starring the brother of Bill Murray, John Murray! Also starring Jennifer Tilly, James Keach, Fred Willard and the late Robert Conrad! It also stars Clara Peller, the Wendy's ""Where's the beef?"" lady! "
slqld, Happy 35th birthday Queensland Performing Arts Centre!!. @QPAC was officially opened on this day in 1985 with a large public parade across the Victoria Bridge. You can find further images of QPAC via One Search - https://bit.ly/3co3RR8 Image taken 1994 by Reina Irmer
CoachLoMindset,Happy 35th birthday to the real Tony the Tiger. Miss you so so much bud. https://www.instagram.com/p/B_LhoUOHH7T/?igshid=1ixne1exykm4m
tcolemansc2000,"Happy 35th birthday tomorrow to my beautiful daughter Jadyn mom to my twin grandchildren Eliana and Legend, wife to my baby son Andre’ . #Bellspalsy @nbctelenovela Roxie #singersongwriter #latina #PuertoRico @EvaLongoria @josebrooks @StephenCurry30 @zealchurch @sunny"
eintracht_stats,Happy 35th birthday to our goalkeeper coach Jan #Zimmermann. @eintracht_lz &amp; @eintracht_eng 1994-2010 &amp; since 2017 5 x Bundesliga 119 x U23 + all youth teams since he was 9 years old #Eintracht #SGE
CoachAKallhoff,"Happy 35th birthday to the queen of our house. We are so thankful for you!!! You rock it as a mom, wife, and best friend. "
